He has entered the Wildling camp unarmed MANCE,You're wearing a black cloak again
You can choose the creature that killed our mother to come into this world- JAIME,Are you really mad enough to blame him for that? He didn't decide to kill her
CERSEI,"A disease doesn't decide to kill you, all the same you cut it out before it does"
JAIME,Those are words
CERSEI,Yes
Jaime pulls her close and kisses her JAIME,Someone will walk in
CERSEI,I don't care
FENNESZ,"*in Valyrian* Thank you for seeing me, your grace"
DAENERYS,You speak it very well
FENNESZ,"Before you freed me, I belonged to Master Mighdal"
DAENERYS,I hope I can prove worthy of her admiration
What can I do for you? FENNESZ,"When you took the city, the children begged me not to leave the house"
DAENERYS,I have outfitted mess halls to feed all former slaves and barracks to shelter them
FENNESZ,"I do not mean to offend, your grace"
DAENERYS,"My Unsullied will make them safe again in short order my friend, this I promise you"
FENNESZ,"Even if they are safe, who would I be there? What purpose would I serve? With my master, I was a teacher"
There are many outside waiting to beg the same- DAENERYS,I did not take this city to preside over the injustice I fought to destroy
FENNESZ,"Thank you, your grace"
[Fennesz leaves slowly BARRISTAN,The masters will take advantage of this situation
[Another man enters the hall DAENERYS,Approach my friend
MAN,"*in Low Valyrian* I do not understand, my queen"
MISSANDEI,*in Low Valyrian* The Queen says you may approach
"[The man kneels on the ground sobbing, laying a pile of burnt bones on the ground MISSANDEI",*translating* My girl
DAENERYS,Three
*in Valyrian* And still no word on Drogon? GREY WORM,"*in Valyrian* Sailors saw him flying over the Black Cliffs three days ago, my queen"
DAENERYS,*in Valyrian* Meet me in the catacombs
ALL TOGETHER,And now their watch is ended
AEMON,And now their watch is ended
Jon Snow and Melisandre share a look TORMUND,Your old blind man patched me up
Why? JON,"He's sworn to treat all wounded men, friend or foe"
TORMUND,"You spent too much time with us, Jon Snow"
JON,We're gonna burn the bodies of your dead
TORMUND,"The dead can't hear us, boy"
[Jon walks away TORMUND,Snow
JOJEN,We'll rest with the three-eyed raven
[Jojen falls to the ground MEERA,We're not going to make it
JOJEN,We're already here
BRAN,Jojen
HODOR,Hodor
BRAN,Help them! [Skeleton warriors have now emerged from the ground
JOJEN,"Bran! Save yourself, now! [Meera defeats a skeleton warrior, only to see another repeatedly stabbing Jojen"
GIRL,"Come with me, Brandon Stark! [She looks at Meera and Jojen"
GIRL,He is lost
[JOJEN,Go with them
GIRL,They cannot follow us
BRAN,You’re the three-eyed raven
OLD MAN,I have been many things
BRAN,I didn’t want anyone to die for me
OLD MAN,He died so that you could find what you have lost
CUT TO,THE RIVERLANDS [Brienne and Podrick wake up in the open air on their way to the Eyrie
BRIENNE,Podrick
Podrick! Where are the horses? PODRICK,I hobbled them last night
BRIENNE,If you did it like I taught you then the horses would be here
ARYA,People coming
BRIENNE,I like your sword
Are we getting close to the bloody gate? ARYA,About ten more miles
BRIENNE,Did you hear that Podrick? Only about ten more miles to the Bloody Gate
ARYA,But you know how to use that sword
BRIENNE,I do
” ARYA,Mine’s “Needle
” BRIENNE,Good name
ARYA,Mine never wanted to
BRIENNE,Mine said the same
BRIENNE,Seven blessings
BRIENNE,You’re Arya Stark
HOUND,I asked if you wanted something
BRIENNE,I swore to your mother I would bring you home to her
ARYA,My mother’s dead
BRIENNE,I know
ARYA,You’re not a northerner
BRIENNE,"I know, but I swore a sacred vow to protect her"
HOUND,You’re paid by the Lannisters
BRIENNE,I’m not paid by the Lannisters
HOUND,No? Fancy sword you’ve got there
BRIENNE,Jaime Lannister gave me this sword
ARYA,The Bloody Gate’s ten miles
BRIENNE,She is
HOUND,You’re not a good listener
BRIENNE,Come with me Arya
HOUND,Safety?! Where the fuck’s that? Her aunt in the Eyrie’s dead
BRIENNE,I have no wish to kill you Ser
HOUND,I’m not a knight
BRIENNE,Arya! [The camera moves to show us Arya hiding just above Brienne
HOUND,You’re still here? [Coughs Big bitch saved you
ARYA,I don’t need saving
HOUND,"No, not you"
"Going out alone, you won’t last a day out there ARYA",I’ll last longer than you
HOUND,You remember where the heart is? Fuck it
HOUND,Kill me
Kill me! Kill me! Kill me! CUT TO,KING'S LANDING [We enter Tyrion’s cell
TYRION,"Oh, get on with it you son of a whore"
JAIME,There’s a locked door at the top of the stairs
TYRION,"I suppose this is goodbye, then"
JAIME,"Farewell, little brother"
TYRION,"Jaime, thank you"
JAIME,Quickly now
WOMAN,Tywin… my lion
TYRION,I’m sorry
TYWIN,Tyrion! Put down the crossbow
Is this how you want to speak to me? Shaming your father has always given you pleasure… TYRION,"All my life, you’ve wanted me dead"
TYWIN,Yes
TYRION,I loved her
TYWIN,"Bah, Tyrion"
TYRION,I murdered her
TYWIN,It doesn’t matter
TYWIN,And what? You’ll kill your own father in the privy? No
Enough of this nonsense… TYRION,"I am your son, and you sentenced me to die"
Why? TYWIN,Enough
TYRION,I can’t go back there
TYWIN,"What, are you afraid of a dead whore? [Tyrion fires the crossbow at Tywin"
TYWIN,You shot me
TYRION,I am your son
VARYS,What have you done? Quickly
"He goes to walk back to King's Landing, but turns around and boards the ship himself CUT TO","THE RIVERLANDS [We go back to Arya, alone"
ARYA,I want to see the captain
CAPTAIN,You’re seeing him
ARYA,"I want to go north, to the wall"
CAPTAIN,No you don’t
ARYA,I can pay
CAPTAIN,There is nothing in the north but ice and war and pirates
ARYA,I wouldn’t need a cabin
"Please, I could work, scrubbing the floors, or… CAPTAIN","I’m not going north, child, we’re going home"
ARYA,"Wait, I have something else"
CAPTAIN,More silver won’t make a difference
ARYA,"It’s not silver, it’s iron"
ARYA,Valar morghulis
CAPTAIN,How did you… valar dohaeris
