Old Nan,The little Lord's been dreaming again
Hugh of the Vale,I see
Jory Cassel,He said he'd be glad to talk to the Hand himself
Eddard Stark,A knight
Jory Cassel,"You shouldn't be out here, my Lord"
Eddard Stark,Let them look
Tobho Mott,"The former Hand did call on me, my Lord, several times"
Eddard Stark,I'd like to see him as well
Tobho Mott,"As you wish, my Lord"
Eddard Stark,This is fine work
Gendry,It's not for sale
Tobho Mott,"Boy, this is the King's Hand! If his lordship wants the helmet"
Gendry,I made it for me
Tobho Mott,"Forgive him, my Lord"
Eddard Stark,There's nothing to forgive
"When Lord Arryn came to visit you, what would you talk about? Gendry","He just asked me questions is all, my Lord"
Eddard Stark,Look at me
Jory Cassel,This is for the King from Lord Stark
Jaime Lannister,Listen
Jory Cassel,"Forgive me, my Lord"
Jaime Lannister,"Have we? Strange, I've forgotten"
Jory Cassel,The siege of Pyke
Jaime Lannister,Vicious sons of whores
Jory Cassel,They like their bloodshed
Jaime Lannister,They stopped liking it at the end
D'you remember Thoros of Myr charging through the breach? Jory Cassel,With his burning sword? I'll remember that till the day I die
Jaime Lannister,I saw the youngest of the Greyjoy lads at Winterfell
Jory Cassel,Theon? He's a good lad
Jaime Lannister,I doubt it
Robert Baratheon,I'll bet you smell of blackberry jam! Let me smell it
Jory Cassel,Can I leave this with you? The message from Lord Stark
Jaime Lannister,I don't serve Lord Stark
Pyp,Prince Porkchop
Where is he? Jon Snow,He wasn't hungry
Rast,"You are in love, Lord Snow"
Jon Snow,No one touches Sam
Alliser Thorne,"What are you waiting for? Attack him! You, get in there"
Grenn,Hit me
Alliser Thorne,"You think this is funny, do you? When you're out there beyond the Wall with the sun going down, do you want a man at your back? Or a sniveling boy? - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - After their bath, Viserys drags Doreah by her hair through the camp and into Daenerys’ tent"
Daenerys Targaryen,Hush now
Irri,"Yes, Khaleesi"
Daenerys Targaryen,I wasn't commanding you
Viserys Targaryen,This stinks of manure
Daenerys Targaryen,Stop - stop it
Viserys Targaryen,"You would turn me into one of them, wouldn't you? Next you'll want to braid my hair"
Daenerys Targaryen,You've no right to a braid
Viserys Targaryen,"You do not talk back to me! Viserys hit Daenerys, as he mounts her to keep hitting her, she fends him off with a chain"
Viserys Targaryen,You are a horselord's slut
Daenerys Targaryen,I am a Khaleesi of the Dothraki! I am the wife of the great Khal and I carry his son inside me
Samwell Tarly,I know for a fact that some of the officers go to that brothel in Mole's Town
Jon Snow,I wouldn't doubt it
Jon Snow,I didn't think you'd be so upset about it
Samwell Tarly,Why not? Because I'm fat? But I like girls just as much as you do
Jon Snow,"As a matter of fact, I'm the same as you"
Samwell Tarly,I find that hard to believe
Jon Snow,I came very close once
Samwell Tarly,Was she
Old and ugly? Jon Snow,Young and gorgeous
Samwell Tarly,I like red hair
Jon Snow,You don't want to know
Samwell Tarly,Oh no
Jon Snow,I never met my mother
Samwell Tarly,So
You didn't know where to put it? Alliser Thorne,"Enjoying yourselves? You look cold, boys"
Samwell Tarly,It is a bit nippy
Alliser Thorne,"A bit nippy, yeah, by the fire, indoors"
"Was it uncomfortable at Winterfell? Were there days when you just couldn't get warm, never mind how many fires your servants built? Jon Snow",I build my own fires
Alliser Thorne,That's admirable
Daenerys Targaryen,I hit him
Jorah Mormont,Your brother Rhaegar was the last dragon
Daenerys Targaryen,He is still the true King
Jorah Mormont,"The common people pray for rain, health and a summer that never ends"
Daenerys Targaryen,I pray for home too
? Septa Mordane,"Sansa dear, this is Lord Baelish"
Petyr Baelish,An old friend of the family
Robert Baratheon,"I've been sitting here for days! Start the damn joust before I piss myself! The competitors step forward on their horses, Baelish introduces them to Sansa"
Robert Baratheon,"Yes, yes"
Petyr Baelish,Not what you were expecting? Has anyone ever told you the story of the Mountain and the Hound? Lovely little tale of brotherly love
Sansa Stark,I won't tell anyone
Petyr Baelish,"No, please don't"
Jory Cassel,"My Lord, Her Grace the Queen"
Eddard Stark,Your Grace
Cersei Baratheon,You're missing your tournament
Eddard Stark,Putting my name on it doesn't make it mine
Cersei Baratheon,I thought we might put what happened on the Kingsroad behind us – the ugliness with the wolves
How is Sansa? Eddard Stark,She likes it here
Cersei Baratheon,The only Stark who does
What is it you hope to accomplish? Eddard Stark,"The King called on me to serve him and the realm, and that's what I'll do until he tells me otherwise"
Cersei Baratheon,You can't change him
Eddard Stark,"If that's my job, then so be it"
Cersei Baratheon,"You're just a soldier, aren't you? You take your orders and you carry on"
Eddard Stark,"I was also trained to kill my enemies, Your Grace"
Cersei Baratheon,As was I
Rodrick Cassel,"Boy! Bread, meat and beer, quickly"
Marillion,"Good idea, grandfather"
A song while we wait or? Rodrick Cassel,I'd rather throw myself down a well
Marillion,"Grandfather, may be your last chance if you're heading north"
Masha Heddle,"I'm sorry, my Lord, we're full up"
Tyrion Lannister,My men can sleep in the stable
Masha Heddle,"Truly, my lord, we have nothing"
Tyrion Lannister,Is there nothing I can do
to remedy this? Bronn,You can have my room
Tyrion Lannister,There's a clever man
Yoren,"Aye, my Lord"
Masha Heddle,Lady Stark
Catelyn Stark,I was still Catelyn Tully the last time I stayed here
Is that the black bat of Harrenhal I see embroidered on your coat? Knight of House Whent,"It is, my Lady"
Catelyn Stark,And is Lady Whent a true and honest friend to my father
Lord Hoster Tully of Riverrun? Knight of House Whent,She is
Catelyn Stark,The red stallion was always a welcome sight at Riverrun
Knight of House Bracken,Our lord is honored by his trust
Tyrion Lannister,"I envy your father all his fine friends, but I don't quite see the purpose of this"
Catelyn Stark,This man
