STANNIS’ CAMP - MORNING DAVOS,"A band of 20 men, maybe less"
STANNIS,Doesn’t make much sense
SHIREEN,I think it’s poetic
STANNIS,Sometimes a person has to choose
SHIREEN,"It’s alright, father"
STANNIS,You don’t even know what I’m talking about
SHIREEN,It doesn’t matter
Is there any way I can help? STANNIS,Yes there is
SHIREEN,"Good, I want to"
STANNIS,Forgive me
SHIREEN,Where’s my father? I want to see my father
MELISANDRE,"It will all be over soon, Princess"
SHIREEN,"Where’s my father? No you can’t do this, father where are you?! Stannis watches on from the crowd"
MELISANDRE,"The year is now, my Lord"
STANNIS,There’s no other way
SELYSE,No
ANNOUNCER (Valyrian),"Free citizens of Meereen! By the blessings of the Graces and her majesty the Queen, welcome to the Great Games! The Announcer raises his hands and the crowd begins to roar"
ANNOUNCER,"My queen, our first contest"
STRONG,"I fight and die for your glory, oh glorious queen"
HIZDAHR,They’re waiting for you
DAARIO,"That one, the smaller man, no question, that’s where you should put your money"
TYRION,The smaller man it is
DAENERYS,I’m not putting my money anywhere
HIZDAHR,Kings and queens never bet on the games
DAARIO,People used to bet against me when I fought in the pits
HIZDAHR,"I have spent much of my life in Meereen, and in my experience, larger men do triumph over smaller man, far more often than not"
DAENERYS,"Has your experience ever involved any actual fighting? You, yourself, have you ever tried to kill a man that was trying to kill you? Hizdahr is silent"
DAARIO,"Whenever I got into the pit against a beast like that one, the crowd saw me, all skin and bone back then, then they saw a pile of angry muscles ready to murder me"
HIZDAHR,I’m not talking about myself
TYRION,My father would have liked you
ANNOUNCER,A Meereenese champion? The crowd applauds
HIZDAHR (looks at pit),Those men think they’re dying for a good reason
DAENERYS,Someone else’s reason
HIZDAHR,"So your reasons are true, and theirs are false"
TYRION,"Well said, you’re an eloquent man"
ANNOUNCER,
),"I fight and die for your glory, oh glorious Queen"
TYRION,You can end this
HIZDAHR,She cannot
TYRION,You can! The fighter holds his blade to Jorah’s throat
DAARIO,Protect your queen! The Sons of the Harpy start slitting the throats of former slaves and Unsullied in the crowd
HIZDAHR,"Your Grace, Your Grace, come with me! I know a way out! I know a way-- Two Sons of the Harpy come up on Hizdahr from behind and stab him to death"
TYRION,Stay close! Sons of the Harpy have began to rush the pit
JORAH,"This way! They run through the exit, but a door swings shut"
DAARIO,"The other side, follow me! They rush towards the other side and join up with Tyrion and Missandei"
DAARIO,"Protect your queen! Jorah, Daario, and the Unsullied form a ring around Missandei, Daenerys, and Tyrion in the center of the pit"
DAENERYS,Drogon! She takes a spear from his neck
DAENERYS,Valahd
