WAYMAR ROYCE,What d’you expect? They’re savages
Why haven’t I seen you? Where the hell have you been? NED,"Guarding the North for you, Your Grace"
(To Arya) Your name is? ARYA,Arya
ARYA,That’s Jaime Lannister
SANSA,Would you please shut up
NED,My queen
CATELYN,My queen
ROBERT,Take me to your crypt
CERSEI,"We’ve been riding for a month, my love"
ROBERT,Ned
ARYA,"Where’s the Imp? [CERSEI, humiliated in front of all, walks back to JAIME"
CERSEI,Where is our brother? Go find the little beast
NED,Tell me about Jon Arryn
ROBERT,"One minute he was fine, and then … Burned right through him, whatever it was"
NED,We both did
ROBERT,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls"
NED,Aye
ROBERT,Don’t look at me like that
NED,I’m not worthy of the honor
ROBERT,I’m not trying to honor you
TYRION,Mmh
ROS,And the queen
ROS,I hear they call him the Imp
TYRION,I hear he hates that nickname
ROS,Oh? I hear he’s more than earned it
TYRION,Clever girl
ROS,"We’ve been expecting you, Lord Tyrion"
JAIME,Don’t get up
ROS,M’lord
TYRION,"She has odd cravings, our sister"
JAIME,A family trait
TYRION,"I’m sorry, I’ve begun the feast a bit early"
JAIME,I thought you might say that
TYRION,"Close the door! [Scene changes to the Winterfell crypt, at Lyanna’s tomb"
ROBERT,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her
NED,She was my sister
ROBERT,She belonged with me
ROBERT,"In my dreams, I kill him every night"
NED,"It’s done, Your Grace"
ROBERT,Not all of them
VISERYS (off camera),Daenerys! [He enters a large chamber
VISERYS,Daenerys! There’s our bride to be! Look – a gift from Illyrio
Isn’t he a gracious host? DAENERYS,We’ve been his guests for over a year and he’s never asked us for anything
VISERYS,Illyrio is no fool
"Can you do that for me? You don’t want to wake the dragon, do you? DAENERYS",No
VISERYS,"When they write the history of my reign, sweet sister, they will say it began today"
MAID,"It’s too hot, my lady"
ILLYRIO,(Greets them in Dothraki
ILLYRIO,"Come forward, my dear"
VISERYS,But he didn’t say anything
Did he like her? ILLYRIO,"Trust me, Your Grace"
ILLYRIO,It won’t be long now
VISERYS,I know how to play a man like Drogo
VISERYS,So do I
"So tell me, sweet sister, how do we go home? DAENERYS",I don’t know
VISERYS,We go home with an army
SANSA,He’s so handsome
SANSA,Why would he say no? He’d be the second most powerful man in the kingdoms
CATELYN,He’d have to leave home
SANSA,You left your home to come here
BENJEN,You got bigger
Why aren’t you at the feast? JON,Lady Stark thought it might insult the royal family to seat a bastard in their midst
BENJEN,"Well, you’re always welcome on the wall"
JON,So take me with you when you go back
BENJEN,The Wall isn’t going anywhere
JON,I’m ready to swear your oath
BENJEN,You don’t understand what you’d be giving up
JON,I don’t care about that
BENJEN,"You might, if you knew what it meant"
TYRION,Your uncle’s in the Night’s Watch
JON,You’re Tyrion Lannister
The queen’s brother? TYRION,My greatest accomplishment
TYRION,Did I offend you? Sorry
JON,Lord Eddard Stark is my father
TYRION,And Lady Stark is not your mother
BENJEN,You at a feast -- It’s like a bear in a trap
NED,The boy I beheaded
Did you know him? BENJEN,Of course I did
NED,He was talking madness
BENJEN,The two he was with are still missing
NED,A wildling ambush
BENJEN,Maybe
NED,Winter is coming
ROBB,Uncle Benjen
BENJEN,Robb boy
How are ye? ROBB,I’m good
"CATELYN (in desperation) Is this your first time in the North, Your Grace? CERSEI",Yes
CATELYN,"I’m sure it’s very grim, after Kings Landing"
CERSEI,"Hello, little dove"
How old are you? SANSA,"Thirteen, Your Grace"
CERSEI,You’re tall
Still growing? SANSA,"I think so, Your Grace"
CERSEI,And your dress
CERSEI,Such talent
CERSEI (to CATELYN,I hear we might share a grandchild someday
CATELYN,I hear the same
CERSEI,Your daughter will do well in the capital
NED,Your pardon
JAIME,I hear we might be neighbors soon
NED,"Yes, the king has honored me with his offer"
JAIME,"I’m sure we’ll have a tournament to celebrate the new title, if you accept"
NED,I don’t fight in tournaments
JAIME,Well said
SANSA,Arya! [CATELYN signals a laughing ROBB to deal with the girls
ROBB,Time for bed
NED,I’m a Northman
CATELYN,I won’t let him take you
NED,The king takes what he wants
CATELYN,"I’ll say, ‘Listen, fat man, you are not taking my husband anywhere"
A VOICE,"It’s Maester Luwin, my lord"
NED,Send him in
LUWIN,"Pardon, my lord, my lady"
NED,Stay
CATELYN,This was sent from the Eyrie
NED,"She’s fresh widowed, Cat"
CATELYN,Lysa’s head would be on a spike right now if the wrong people had found that letter
LUWIN,The king rode for a month to ask Lord Stark’s help
CATELYN,He spent half his life fighting Robert’s wars
LUWIN,A different time
VISERYS,When do I meet with the Khal? We need to begin planning the invasion
ILLYRIO,"If Khal Drogo has promised you a crown, you shall have it"
VISERYS,I piss on Dothraki omens
ILLYRIO,A Dothraki wedding without at least three deaths is considered a dull affair
JORAH,A small gift for the new Khaleesi
DAENERYS,"Thank you, ser"
Are you from my country? JORAH,Ser Jorah Mormont of Bear Island
ILLYRIO,"Dragons’ eggs, Daenerys"
DAENERYS,"Thank you, Magister"
DAENERYS,She’s beautiful
JORAH,There is no word for ‘thank you’ in Dothraki
VISERYS,Make him happy
KHAL DROGO,No
THE HOUND,I didn’t pick you for a hunter
TYRION,The greatest in the land
THE HOUND,It’s not hunting if you pay for it
ROBERT,I know what I’m putting you through
NED,I hope I’ll serve you well
ROBERT,You will
BRAN,"Come on, you"
CERSEI,Stop
JAIME,It’s all right
"(To BRAN) Quite the little climber, aren’t you? How old are you, boy? BRAN",Ten
JAIME,Ten
JAIME,The things I do for love
